ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
82/2021,"Encontros Musicais UFTM -
Edição 2021",Alexandre Santiago Rincon ,PROEXT,Projeto,Cultura,01/08/2021,31/12/2021,03/03/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
83/2021,"DEIXAR A BOCA CHEIA
D’ÁGUA: um estudo etnográfico
na associação das doceiras de
Peirópolis",Alberto Luiz Pereira da Costa ,ICENE,Projeto,Cultura,24/03/2021,30/12/2021,03/03/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
84/2021,CultCast,Raphael Ilidio Arduini ,PROEXT,Projeto,Cultura,24/03/2021,24/12/2021,21/02/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
85/2021,Divulgando Ciência: L-Psicobio nas Redes Sociais,Sionaldo Eduardo Ferreira ,ICS,Projeto,Saúde,24/03/2021,31/12/2021,21/02/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 956,80"
86/2021,Oficina Infantil de cookies,Andreia Fernandes Malaquias,PROEXT,Projeto,Cultura,24/04/2021,24/12/2021,15/02/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
87/2021,Clube de leitura da UFTM,Sâmia Souza Carvalho ,PROEXT,Projeto,Cultura,24/03/2021,24/12/2021,19/02/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
88/2021,Conexão Cultural,Fábio Garcia dos Santos ,PROEXT,Projeto,Cultura,26/03/2021,26/12/2021,02/03/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
89/2021,ESTUDOS DOS ORIXÁS PARA DECOLONIZAÇÃO DOS ARQUÉTIPOS: EXPRESSÕES SIMBÓLICAS E RITOS COTIDIANOS.,Claudia Franco Monteiro ,ICS,Projeto,Cultura,01/04/2021,26/11/2021,03/03/2021,29/03/2021,SIGProj - Edital n.º 01/2021 - Fomento à Cultura,PROEXT-UFTM,"R$ 1.000,00"
90/2021,Liga Acadêmica de Estética Avançada,MARCIA ANTONIAZI MICHELIN,ICBN,Liga Acadêmica (Programa),Saúde,15/04/2021,14/04/2022,18/03/2021,29/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
91/2021,(Con) Viver com Arte: espaços de co-construção de sujeitos na Saúde Mental - Ano III,Rosimar Alves Querino,ICS,Projeto,Saúde,01/04/2021,01/07/2022,23/02/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.373,51"
92/2021,Aplicação de Estação Meteorológica de baixo custo em Escola Pública Estadual,Marcos Dionizio Moreira ,ICENE,Programa,Meio ambiente,01/04/2021,01/07/2022,23/02/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.146,04"
93/2021,"Ensino de português como língua não materna no Brasil: língua de acolhimento, inserção social e formação de professores",Juliana Bertucci Barbosa ,IELACHS,Projeto,Educação,01/04/2021,01/07/2022,23/02/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.400,00"
94/2021,Uso de redes sociais como ferramenta de educação em saude na primeira infância,Divanice Contim ,ICS,Projeto,Saúde,01/04/2021,01/07/2022,03/03/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.361,60"
95/2021,Divulgando a Química para jovens e adultos através das TDIC,Ingrid Nunes Derossi ,Campus Universitário de Iturama,Programa,Educação,01/04/2021,01/07/2022,06/03/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.400,00"
96/2021,Semana dos Dinossauros,Caroline Gomes de Almeida ,PROEXT,Projeto,Meio ambiente,01/04/2021,01/07/2022,06/03/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.400,00"
97/2021,Pequenos confeiteiros,Andreia Fernandes Malaquias ,PROEXT,Projeto,Direitos Humanos e Justiça,01/04/2021,01/07/2022,07/03/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento,PROEXT-UFTM,"R$ 2.400,00"
98/2021,ESTUDO DA VIABILIZAÇÃO DE PRODUÇÃO DE MASCARAS CIRÚRGICAS EM LARGA ESCALA E DE FORMA MANUAL E BAIXO CUSTO,Márcio de Queiroz Murad ,CEFORES,Projeto,Tecnologia e Produção,01/04/2021,01/07/2022,23/02/2021,29/03/2021,SIGProj - Edital n.º 04/2021 - Fomento / Edital  nº  03/2021 - com bolsa,PROEXT-UFTM / CEFORES,"R$ 2.400,00 / R$ 3.600,00"
99/2021,Liga Acadêmica de Psicanálise,TALES VILELA SANTEIRO,IELACHS,Liga Acadêmica (Programa),Saúde,12/04/2021,12/04/2022,15/03/2021,30/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
100/2021,A AVENTURA DE CRESCER: Troca de conhecimentos para um crescimento saudável na primeira infância,Ana Palmira Soares dos Santos ,CEFORES,Projeto,Saúde,01/04/2021,01/01/2022,02/03/2021,31/03/2021,SIGProj - EDITAL PROEXT/CEFORES 02/2021 - com bolsa,CEFORES,"R$ 3.600,00"
101/2021,Orientação e Treinamento para o Uso de Máscaras Cirúrgicas de Baixo Custo Produzidas de Forma Manual,André Luis Beloni dos Santos ,CEFORES,Projeto,Saúde,01/04/2021,01/01/2022,19/02/2021,31/03/2021,SIGProj - EDITAL PROEXT/CEFORES 02/2021 - com bolsa,CEFORES,"R$ 3.600,00"
102/2021,Orientações e medidas de controle de qualidade na produção de máscaras em âmbito institucional,Guilherme Ferretto,CEFORES,Projeto,Tecnologia e Produção,01/04/2021,01/01/2022,20/02/2021,31/03/2021,SIGProj - EDITAL PROEXT/CEFORES 02/2021 - com bolsa,CEFORES,"R$ 3.600,00"
103/2021,Contato telefônico como estratégia de enfermagem para o acompanhamento de mulheres no período puerperal,Karla Fabiana Nunes da Silva,CEFORES,Projeto,Educação,01/04/2021,01/01/2022,02/03/2021,31/03/2021,SIGProj - EDITAL PROEXT/CEFORES 02/2021 - com bolsa,CEFORES,"R$ 3.600,00"
104/2021,ESTUDO DA VIABILIZAÇÃO EXECUÇÃO DE TESTES DE EFICIÊNCIA EM MASCARAS CIRÚRGICAS COM BASE NA NORMA ABNT 13698/2011,Márcio de Queiroz Murad ,CEFORES,Projeto,Tecnologia e Produção,01/04/2021,01/01/2022,22/02/2021,31/03/2021,SIGProj - EDITAL PROEXT/CEFORES 02/2021 - com bolsa,CEFORES,"R$ 3.600,00"
105/2021,Família Fisio UFTM - Ano I,CRISTIANE VITALIANO GRAMINHA,ICS,Projeto,Saúde,06/04/2021,17/12/2021,05/03/2021,05/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
106/2021,Liga Acadêmica de Terapias Integrativas,EDUARDO ELIAS VIEIRA DE CARVALHO,ICS,Liga Acadêmica (Programa),Saúde,26/04/2021,31/12/2021,26/03/2021,05/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
107/2021,Dedinho de Prosa - Edição 2021,MARCOS VINICIUS DA SILVA,ICBN,Projeto,Saúde,05/04/2021,31/08/2021,08/03/2021,05/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
108/2021,Apoio Pedagógico aos alunos do Programa de Auxílios Financeiros – PAF da UFTM,TENISZIARA DE MOURA FERREIRA,PROACE,Evento,Educação,29/04/2021,24/05/2021,05/04/2021,07/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
109/2021,XI Simpósio e XII Curso Introdutório à Liga de Cirurgia Plástica e Dermatologia da UFTM,MANOEL PEREIRA DA SILVA NETO,ICS,Evento,Saúde,28/04/2021,28/04/2021,03/04/2021,08/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
110/2021,ALMANAQUE DA CIÊNCIA,Andreia Fernandes Malaquias,Proext,Projeto,Cultura,01/04/2021,01/04/2023,17/02/2021,09/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
111/2021, IV Simpósio e Curso Introdutório à Liga Acadêmica de Cirurgia Geral (LAC UFTM),LUIS GUSTAVO FAGUNDES NUNES,ICS,Evento,Saúde,12/04/2021,12/04/2021,25/03/2021,09/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
112/2021,XVIII Simpósio de Urgências e Emergências Traumáticas,EDUARDO CREMA,ICS,Evento,Saúde,06/05/2021,06/05/2021,05/04/2021,12/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
113/2021,I Simpósio Introdutório à LACEC,FERNANDA MACHADO FONSECA,ICS,Evento,Saúde,15/04/2021,15/04/2021,01/04/2021,12/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
114/2021,Programa Multimidiático,Ana Paula Bossler da Costa,ICENE,Programa,Cultura,01/04/2021,01/04/2026,11/02/2021,12/04/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) / (02 bolsas de Extensão - 09 meses/2022 - Ed. PROEXT 13/2021),"R$ 7.200,00 / R$ 7.200,00"
115/2021,Liga Acadêmica de Cirurgia Geral da UFTM (LAC UFTM),LUIS GUSTAVO FAGUNDES NUNES,ICS,Liga Acadêmica (Programa),Saúde,23/04/2021,23/04/2022,26/03/2021,12/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
116/2021,Exposições científicas: o Museu dos Dinossauros,THIAGO DA SILVA MARINHO,ICENE,Programa,Meio Ambiente,15/03/2021,15/03/2022,08/04/2021,12/04/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) - (02 Bolsas de Extensão - 09 meses/2022 - Edital 13/2021),"R$ 7.200,00 / R$ 7.200,00"
117/2021,I Simpósio da Liga Acadêmica de Estética Avançada,MARCIA ANTONIAZI MICHELIN,ICBN,Evento,Saúde,28/04/2021,29/04/2021,09/04/2021,14/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
118/2021,Dia Nacional da Matemática na UFTM,RAFAEL RODRIGO OTTOBONI,ICENE,Evento,Educação,06/05/2021,06/05/2021,09/04/2021,14/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
119/2021,ENEM te conto,CARLO JOSE FREIRE DE OLIVEIRA,PROPPG,Evento,Educação,29/04/2021,30/04/2021,11/04/2021,14/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
120/2021,ResIdoso – Redes Sociais como Educação Interdisciplinar na Promoção de Saúde do Idoso,SURAYA GOMES NOVAIS SHIMANO,ICS,Projeto,Saúde,01/05/2021,28/02/2022,01/04/2021,14/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
121/2021,Geopark Uberaba: educação patrimonial,JOSENILSON BERNARDO DA SILVA,IELACHS,Programa,Cultura,22/03/2021,15/03/2023,08/04/2021,14/04/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) / (2 Bolsas de Extensão - 09 meses/2022 - Edital nº 13/2021),"R$ 7.200,00 / R$ 7.200,00"
122/2021,Minicurso: Telessaúde e Educação para a comunidade,JULIANA MARTINS PINTO,ICS,Evento,Saúde,29/04/2021,29/04/2021,06/04/2021,14/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
123/2021,Liga Acadêmica de Anestesiologia,LUCIANO ALVES MATIAS DA SILVEIRA,ICS,Liga Acadêmica (Programa),Saúde,22/04/2021,31/12/2021,24/03/2021,15/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
124/2021,Revista: Diário das Engenharias,PRISCILA PEREIRA SILVA,ICTE,Projeto,Tecnologia e Produção,10/05/2021,10/05/2023,09/04/2021,15/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
125/2021,X Simpósio e Curso Introdutório da Liga Acadêmica de Diabetes Mellitus,MARIA DE FATIMA BORGES,ICS,Evento,Saúde,22/04/2021,22/04/2021,05/04/2021,15/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
126/2021,I Simpósio e Curso Introdutório da Liga Acadêmica de Transplantes de Órgãos e Tecidos ,VILMAR DE PAIVA MARQUES,ICS,Evento,Saúde,05/05/2021,05/05/2021,30/03/2021,16/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
127/2021,1º Simpósio Introdutório de Medicina Integrada ao Exercício,MURILO ANTONIO ROCHA,ICS,Evento,Saúde,22/04/2021,23/04/2021,08/04/2021,19/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
128/2021,Nossa Jornada,MARCOS VINÍCIUS DA SILVA,ICBN,Programa,Educação,15/05/2021,31/08/2023,15/04/2021,19/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
129/2021,"Formação Docente em Interseccionalidade de Raça, Gênero, Sexualidade e Classe",LEANDRA DOMINGUES SILVERIO,IELACHS,Curso,Educação,17/05/2021,31/07/2021,16/04/2021,19/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
130/2021,Psicologia e Relações Étnico Raciais,AILTON DE SOUZA ARAGAO,ICS,Curso,Saúde,01/06/2021,30/06/2021,19/04/2021,22/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
131/2021,Liga Acadêmica de Transplante de Órgãos e Tecidos - LATOT,VILMAR DE PAIVA MARQUES,ICS,Liga Acadêmica (Programa),Saúde,27/04/2021,01/04/2022,30/03/2021,22/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
132/2021,Liga Acadêmica de Psicologia Jurídica e Serviço Social,HELGA YURI SILVA OKANO ANDRADE,IELACHS,Liga Acadêmica (Programa),Direitos Humanos e Justiça,06/05/2021,06/05/2022,08/04/2021,23/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
133/2021,"2º Ciclo de Estudos do NEduC - Núcleo de Educação em Ciências, Diversidade e Práticas Ambientais - ""Estratégias e Práticas Pedagógicas de Ensino e Aprendizagem""",JAMES ROGADO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Evento,EDUCAÇÃO,26/04/2021,30/11/2021,12/04/2021,23/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
134/2021,Teleatendimeto/Telesaúde de Pilates na deficiência visual,NUNO MIGUEL LOPES DE OLIVEIRA,ICS,Projeto,Saúde,17/05/2021,16/12/2021,20/04/2021,26/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
135/2021,Massagem Shantala na UFTM e redes sociais,NUNO MIGUEL LOPES DE OLIVEIRA,ICS,Projeto,Saúde,27/05/2021,16/12/2021,20/04/2021,26/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
136/2021,Boas-Vindas aos Discentes Bolsistas Extensionistas - 2ª Edição/2021,KAREN RIBEIRO INACIO DE OLIVEIRA,Proext,Evento,Educação,30/04/2021,30/04/2021,23/04/2021,26/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
137/2021,VI Simpósio Mineiro de Educação Química,LUCIANA CAIXETA BARBOZA,ICENE,Evento,Educação,14/06/2021,18/06/2021,19/04/2021,28/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
138/2021,Dia do Físico e da Física - Milton Taidi Sonoda,NATALIA BUENO LEITE SLADE,ICENE,Evento,Trabalho,19/05/2021,19/05/2021,26/04/2021,29/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
139/2021,"1ª Semana de Inovação, Tecnologia e Empreendedorismo",CAMILA NAVES ARANTES,AGÊNCIA UFTM DE INOVAÇÃO,Evento,Tecnologia e Produção,24/05/2021,27/05/2021,29/04/2021,29/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
140/2021, 12º Encontro Comemorativo ao Dia Nacional da Adoção,CLAUDIA HELENA JULIAO,IELACHS,Evento,Direitos Humanos e Justiça,25/05/2021,25/05/2021,28/04/2021,30/04/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
141/2021,Liga Acadêmica de Bioinformática e Biologia Molecular,ANDRE LUIZ PEDROSA,ICBN,Liga Acadêmica (Programa),Saúde,02/06/2021,15/12/2021,22/04/2021,03/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
142/2021,Liga Acadêmica de Cuidados Paliativos em Pediatria,JUSSARA SILVA LIMA,ICS,Liga Acadêmica (Programa),Saúde,03/05/2021,03/04/2026,05/04/2021,03/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
143/2021,"4ª ESCOLA DE INVERNO EM QUÍMICA DO PONTAL DO TRIÂNGULO MINEIRO - ""Laboratórios Virtuais para o Ensino de Ciências""",JAMES ROGADO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Curso,Educação,26/07/2021,30/07/2021,03/05/2021,04/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
144/2021,Vacinas e fake news: uma abordagem para educação básica,CATARINA TEIXEIRA,ICENE,Projeto,Educação,10/05/2021,01/10/2021,12/04/2021,04/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
145/2021,JORNADAS DE DISCUSSÃO DO GEPPEC/LAFICS - 3a. Edição: A CORROSÃO DA DEMOCRACIA E AS NOVAS FORMAS DE AUTORITARISMO,IDALICE RIBEIRO SILVA LIMA,IELACHS,Projeto,Educação,01/06/2021,27/12/2021,03/05/2021,04/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
146/2021,Vida Ativa,CAMILA BOSQUIERO PAPINI,ICS,Projeto,Saúde,01/06/2021,28/02/2022,19/04/2021,05/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
147/2021,Liga Acadêmica Interdisciplinar de Terapia Intensiva,HUDSON HENRIQUE GOMES PIRES,ICS,Liga Acadêmica (Programa),Saúde,24/05/2021,05/04/2022,24/03/2021,05/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
148/2021,Observação atenta da Natureza: o olhar do cientista e do poeta,JONAS BACH JUNIOR,IELACHS,Curso,Educação,17/05/2021,17/08/2021 Término antecipado conforme relatório final,16/04/2021,06/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
149/2021,OFICINAS VIRTUAIS CHAGASLEISH 2021 - REUNIÃO ANUAL DE PESQUISA APLICADA EM DOENÇA DE CHAGAS E LEISHMANIOSES,LUCIANA DE ALMEIDA SILVA TEIXEIRA        ,ICS,Evento,Saúde,14/05/2021,14/08/2021,16/04/2021,06/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
150/2021,Pet Serviço Social em CENAS: Desigualdade Social em Cena sob o Olhar de Carolina Maria de Jesus ,REGINA MAURA REZENDE,IELACHS,Projeto,Direitos Humanos e Justiça,31/05/2021,10/12/2021,28/04/2021,06/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
151/2021,Aula Aberta 1 -  Alienação Parental: Aspectos Jurídicos e Psíquicos,LUCIANA MARIA DA SILVA,ICS,Evento,Direitos Humanos e justiça,20/05/2021,20/05/2021,05/05/2021,07/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
152/2021,Meu Futuro - Edição 01,MARCOS VINICIUS DA SILVA,ICBN,Projeto,Educação,30/05/2021,30/09/2021,29/04/2021,07/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
153/2021,"“Temas em Adolescer: problematizar saberes, ampliar fazeres”",AILTON DE SOUZA ARAGAO,ICS,Curso,Saúde,07/06/2021,31/08/2021,05/05/2021,07/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
154/2021,II RODA DE CONVERSA SOBRE COOPERAÇÃO ACADÊMICA BRASIL-ÁFRICA,DANILO SEITHI KATO,ICENE,Evento,Educação,31/05/2021,31/05/2021,03/05/2021,10/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
155/2021,"Programa Interfaces entre Artes, Ciências & Matemática",ALBERTO LUIZ PEREIRA DA COSTA,ICENE,Programa,Cultura,21/03/2021,31/03/2025,09/04/2021,10/05/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) - (01 Bolsa de Extensão - 09 meses/2022 - Edital 13/2021),"R$ 7.200,00 / R$ 3.600,00"
156/2021,Atividades Lúdicas no Museu dos Dinossauros,THIAGO HENRIQUE BARNABE CORREA,ICENE,Programa,Cultura,15/03/2021,15/03/2023,08/04/2021,10/05/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (1 Bolsa de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) / (02 bolsas de Extensão - 09 meses/2022 - Ed. PROEXT 13/2021),"R$ 3.600,00 / R$ 7.200,00"
157/2021,IX SeAli: Semana Acadêmica da Engenharia de Alimentos da UFTM,EVANDRO ROBERTO ALVES,ICTE,Evento,Tecnologia e Produção,31/07/2021,25/08/2021,05/05/2021,10/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
158/2021,Meu veterano - Edição 01,MARCOS VINICIUS DA SILVA,ICBN,Projeto,Educação,30/05/2021,30/09/2021,29/04/2021,11/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
159/2021,Liga Universitária da Amamentação,LUCIANO BORGES SANTIAGO,ICS,Liga Acadêmica (Programa),Saúde,28/04/2021,28/03/2026,31/03/2021,11/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
160/2021,VIII Fórum de Estágio em Serviço Social da UFTM: “ O estágio e supervisão em Serviço Social na pandemia: desafios e estratégias”,REGINA MAURA REZENDE,IELACHS,Evento,Educação,26/05/2021,26/05/2021,07/05/2021,11/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
161/2021,"37ª Semana de Enfermagem da UFTM: ""Enfermagem na ""linha de frente"" em contextos de crise""",FLAVIA APARECIDA DIAS MARMO,ICS,Evento,Saúde,12/05/2021,13/05/2021,29/04/2021,11/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
162/2021,LIGA ACADÊMICA DE EMBRIOLOGIA E REPRODUÇÃO_FERTILIGA,ROSEANE LOPES DA SILVA GRECCO,ICBN,Liga Acadêmica (Programa),Saúde,02/06/2021,02/06/2022,05/05/2021,11/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
163/2021,VIII Mostra de Projetos dos Trabalhos de Conclusão de Curso da Licenciatura em Matemática 2020-2 ,MARCELA LUCIANO VILELA DE SOUZA,ICENE,Evento,Educação,03/05/2021,03/07/2021,17/04/2021,12/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
164/2021,"2º Seminário ""Patrimônio Cultural e Ensino de História""",ILANA PELICIARI ROCHA,IELACHS,Evento,Educação,19/05/2021,21/05/2021,03/05/2021,12/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
165/2021,3° Simpósio e Curso Introdutório à Liga Acadêmica de Cardiologia da UFTM (LaCardio-UFTM),FERNANDO DE MARTINO,ICS,Evento,Saúde,25/05/2021,26/05/2021,04/05/2021,13/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
166/2021,MAFA (Mãos e Almas Fazendo Arte),SURAYA GOMES NOVAIS SHIMANO,ICS,Projeto,Educação,01/06/2021,20/12/2021,30/04/2021,13/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
