ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
167/2021,Laboratório de História Pública UFTM,MARCELO DE SOUZA SILVA,IELACHS,Projeto,Comunicação,02/06/2021,02/06/2022,05/05/2021 (23:41),13/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
168/2021,Comunidades Escolares Aprendentes (CEAs): uma proposta de formação compartilhada entre Universidade e Instituições Estaduais de Ensino,JAMES ROGADO,CIT,Programa,Educação,07/06/2021,30/04/2026,07/05/2021    (21:17),13/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
169/2021,I Simpósio Introdutório à Liga Acadêmica de Bioinformática e Biologia Molecular,ANDRE LUIZ PEDROSA,ICBN,Curso,Saúde,25/05/2021,26/05/2021,22/04/2021,14/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
170/2021,III Simpósio Introdutório à FERTILIGA,ROSEANE LOPES DA SILVA GRECCO,ICBN,Evento,Saúde,27/05/2021,27/05/2021,04/05/2021,14/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
171/2021,"Rodas de Conversa: Controle sobre os corpos, machismo e patriarcado e suas repercussões para a saúde feminina",CLAUDIA DE AZEVEDO AGUIAR,ICS,Projeto,Saúde,07/06/2021,04/12/2021,10/05/2021,14/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
172/2021,A UFTM – Iturama em diálogo com a sociedade ituramense: qualidade de vida em foco ,ELISANGELA RODRIGUES CARRIJO,Assessoria em Assuntos Comunitários e Estudantis - Campus Universitário de Iturama,Projeto,Saúde,10/06/2021,10/06/2022,13/05/2021,18/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
173/2021,BioMatch - Mentoria Profissional: conectando a graduação com o mercado de trabalho,MARCOS VINICIUS DA SILVA,ICBN,Projeto,Educação,30/05/2021,30/09/2021,29/04/2021,19/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
174/2021,Baja UFTM,MARCOS MASSAO SHIMANO,ICTE,Projeto,Tecnologia e Produção,07/06/2021,31/12/2021,10/05/2021,19/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
175/2021,Cuidado em Liberdade: memórias da Luta Antimanicomial e experiências nos serviços da Rede de Atenção Psicossocial,ROSIMAR ALVES QUERINO,ICS,Projeto,Saúde,08/06/2021,30/11/2021,07/05/2021,20/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
176/2021,Posts informativos em Nutrição e Atividade Física,MARA CLEIA TREVISAN,ICS,Projeto,Saúde,02/06/2021,23/12/2021,05/05/2021,21/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
177/2021,Liga de Obstetrícia (LIO),CLAUDIA DE AZEVEDO AGUIAR,ICS,Liga Acadêmica (Programa),Saúde,08/06/2021,14/12/2021,11/05/2021,21/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
178/2021,Liga Acadêmica de Cardiologia da UFTM (LaCardio-UFTM),FERNANDO DE MARTINO,ICS,Liga Acadêmica (Programa),Saúde,08/06/2021,30/04/2022,07/05/2021,21/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
179/2021,Liga do Trauma,EDUARDO CREMA   alterado para ROBERTO DA MATA LENZA em 25/02/2022,ICS,Liga Acadêmica (Programa),Saúde,01/06/2021,01/06/2022,05/05/2021,21/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
180/2021,III Simpósio e Curso Introdutório à liga Acadêmica de Neonatologia,VALERIA CARDOSO ALVES CUNALI,ICS,Evento,Saúde,23/06/2021,23/06/2021,17/05/2021,24/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
181/2021,Programa PROMOVER: atenção integral à pessoa com deficiência,SURAYA GOMES NOVAIS SHIMANO,ICS,Programa,Saúde,06/06/2021,10/06/2022,05/05/2021,24/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
182/2021,Roda de conversa: a relação entre maternidade e o meio acadêmico,CONCEICAO APARECIDA SERRALHA,IELACHS,Evento,Saúde,26/05/2021,26/05/2021,12/05/2021,24/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
183/2021,Liga Acadêmica de Diabetes Mellitus 2021,MARIA DE FATIMA BORGES,ICS,Liga Acadêmica (Programa),Saúde,31/05/2021,06/12/2021,17/04/2021,24/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
184/2021,Colírio Blues,OZIRIS BORGES FILHO,IELACHS,Projeto,Comunicação,19/06/2021,31/12/2021,20/05/2021,26/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
185/2021,Seminários do Grupo Topus,OZIRIS BORGES FILHO,IELACHS,Evento,Educação,16/06/2021,31/08/2021,24/05/2021,26/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
186/2021,Liga Acadêmica de Humanização Sarakura 2021,ANA LUCIA DE ASSIS SIMOES,ICS,Liga Acadêmica (Programa),Saúde,21/06/2021,21/06/2022,17/05/2021,27/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
187/2021,Prosa científica. Encontro com o NEPSMAD.,ANDREA RUZZI PEREIRA,ICS,Evento,Saúde,10/06/2021,09/12/2021,12/05/2021,31/05/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
188/2021,(+)Nutrição & Saúde,RENATA DAMIAO,ICS,Projeto,Saúde,21/06/2021,02/06/2022,24/05/2021,01/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
189/2021,Telemonitoramento do desenvolvimento motor do lactente de risco,ELAINE LEONEZI GUIMARAES,ICS,Projeto,Saúde,22/06/2021,22/12/2021,25/05/2021,02/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
190/2021,Corporeidade e Saúde: Questões contemporâneas,VITOR HUGO DE OLIVEIRA,ICS,Curso,Saúde,05/08/2021,02/09/2021,13/05/2021,07/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
191/2021,CAFITUR - Apoiando o comercio da agricultura familiar e desenvolvimento local em Iturama e região,ARIANE FERNANDES DA CONCEICAO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Projeto,Comunicação,29/06/2021,01/07/2023,01/06/2021,08/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
192/2021,IX Simpósio e XIV Curso Introdutório à Liga Acadêmica de Humanização Sarakura: 'Todo mundo pode ser palhaço?',ANA LÚCIA DE ASSIS SIMÕES,ICS,Evento,Saúde,19/06/2021,07/07/2021,17/05/2021,10/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
193/2021,XX Simpósio e Curso Introdutório da Liga de Hipertensão Arterial da UFTM,LUIZ ANTONIO PERTILI RODRIGUES DE RESENDE,HC,Evento,Saúde,15/06/2021,16/06/2021,31/05/2021,14/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
194/2021,Aula Aberta 2 – Guarda compartilhada: uma visão psicojurídica,LUCIANA MARIA DA SILVA,ICS,Evento,Direitos Humanos e Justiça,21/06/2021,02/07/2021,07/06/2021,15/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
195/2021,Atenção em Saúde Bucal,VIRGINIA OLIVEIRA CREMA,ICBN,Projeto,Saúde,30/06/2021,30/06/2022,02/06/2021,16/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
196/2021,"IX INTERPET - PET que ""bixo"" é esse?",CLAUDIA REGINA BOVO,IELACHS,Evento ,Educação,03/07/2021,03/07/2021,06/06/2021,16/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
197/2021,LIGA ACADÊMICA MULTIPROFISSIONAL DE ATENÇÃO HOSPITALAR-LAMAH,GILBERTO DE ARAUJO PEREIRA,ICS,Liga Acadêmica (Programa),Saúde,09/07/2021,31/12/2022,11/06/2021,17/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
198/2021,AMBULATÓRIO DE SÍNDROME PÓS-COVID,GUSTAVO JOSE LUVIZUTTO,ICS,Prestação de Serviços,Saúde,20/07/2021,20/06/2022,16/06/2021,21/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
199/2021,Liga Acadêmica de Reabilitação Cardiovascular,LUCIANA DUARTE NOVAIS SILVA,ICS,Liga Acadêmica (Programa),Saúde,05/07/2021,22/12/2021,01/06/2021,22/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
200/2021,Projeto Desmistificando a Vacina,LUCIANO ALVES MATIAS DA SILVEIRA,ICS,Projeto,Saúde,30/06/2021,17/12/2021,02/06/2021,22/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
201/2021,Orientações pré-anestésicas por meio de mídia direcionado a pacientes em contexto pré-operatório,LUCIANO ALVES MATIAS DA SILVEIRA,ICS,Projeto,Saúde,16/07/2021,17/01/2022,14/06/2021,23/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
202/2021,MESA REDONDA “BNCC e suas Implicações à Formação de Professores: da formulação às críticas e inquietudes” ,JAMES ROGADO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Evento,EDUCAÇÃO,30/06/2021,14/07/2021,08/06/2021,24/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
203/2021,Cine Pet,OZIRIS BORGES FILHO,IELACHS,Projeto,Cultura,22/07/2021,09/12/2021,22/06/2021,24/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
204/2021,LIGA ACADÊMICA DE CLÍNICA MÉDICA,RODRIGO JULIANO MOLINA,ICS,Liga Acadêmica (Programa),Saúde,12/07/2021,12/07/2022,24/05/2021,24/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
205/2021,Ciclo de debates em Saúde Coletiva,ROSANE APARECIDA DE SOUSA MARTINS,IELACHS,Curso,Saúde,07/07/2021,22/12/2021,07/06/2021,25/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
206/2021,Clube do Conto ,OZIRIS BORGES FILHO,IELACHS,Projeto,Educação,20/07/2021,02/12/2021,22/06/2021,25/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
207/2021,"Distribuição espacial dos casos, óbitos e vacinação contra a COVID-19 na Macrorregião de Saúde do Triângulo do Sul, MG",RICARDO VICENTE FERREIRA,IELACHS,Projeto,Saúde,07/06/2021,06/06/2022,10/05/2021,28/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
208/2021,"SemPReBio - Seminários, Palestras e Relatos Biológicos",LUCIANA SEGURA DE ANDRADE,CAMPUS UNIVERSITÁRIO DE ITURAMA,Projeto,Educação,19/07/2021,24/12/2021,19/06/2021,30/06/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
209/2021,Site: Terapia Intensiva a um Clique ,HUDSON HENRIQUE GOMES PIRES,ICS,Projeto,Saúde,08/07/2021,08/07/2022,08/06/2021,02/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
210/2021,II Encontro de Botânica de Uberaba,POLYANA NORONHA SOARES,ICENE,Evento,Educação,15/07/2021,07/10/2021,30/06/2021,05/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
211/2021,Cidades e Comunidades Sustentáveis,VIVIANI ANTUNES GOMES RODRIGUES,ICTE,Projeto,Meio ambiente,29/07/2021,02/07/2022,01/07/2021,05/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
212/2021,Curso de capacitação em doença de Alzheimer,MARKUS VINICIUS CAMPOS SOUZA,ICS,Curso,Saúde,25/07/2021,18/12/2021,24/06/2021,05/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
213/2021,II Congresso Brasileiro de Educação Integral – IV Seminário Mineiro de Educação Integral,573,ICS,Evento,Educação,03/05/2021,27/08/2021,28/06/2021,06/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
214/2021,VIII Simpósio da Liga Acadêmica de Pediatria,VALERIA CARDOSO ALVES CUNALI,ICS,Evento,Saúde,02/08/2021,02/08/2021,30/06/2021,07/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
215/2021,Impactos da espiritualidade na qualidade de vida em egressas do sistema prisional de Uberaba,ADRIANA CLEMENTE MENDONCA,ICS,Projeto,Saúde,21/07/2021,23/12/2021,22/06/2021,08/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
216/2021,IX SEAMB - Semana Acadêmica da Engenharia Ambiental - 2ª Edição Online,DIEGO ANDRADE LEMOS,ICTE,Evento,Meio ambiente,14/07/2021,15/10/2021,30/06/2021,08/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
217/2021,Curso de Inverno: Velhice não é doença ,SURAYA GOMES NOVAIS SHIMANO,ICS,Curso,Saúde,04/08/2021,06/08/2021,03/07/2021,09/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
218/2021,Programa FloRir: Vivências em mindful eating para estudantes universitários,FERNANDA RODRIGUES DE OLIVEIRA PENAFORTE,ICS,Programa,Saúde,02/08/2021,01/08/2022,28/06/2021,09/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
219/2021,Semana da Biologia- IV SEMBIO,RADAI CLERIA FELIPE GONCALVES,CAMPUS UNIVERSITÁRIO DE ITURAMA,Evento ,Educação,17/08/2021,20/08/2021,07/07/2021,09/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
220/2021,Fabricação de álcool gel e outros antissépticos na prevenção da COVID-19,LUCAS FERREIRA DE PAULA,CAMPUS UNIVERSITÁRIO DE ITURAMA,Projeto,Saúde,28/09/2021,28/09/2022,24/05/2021,13/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
221/2021,English for all,SURAYA GOMES NOVAIS SHIMANO,ICS,Projeto,Educação,08/07/2021,20/12/2021,10/06/2021,13/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
222/2021,NHE´É PORÃ - PALAVRAS SAGRADAS: Saberes originário para educadores ,JONAS BACH JUNIOR,IELACHS,Curso,Educação,02/08/2021,30/11/2021,01/07/2021,13/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
223/2021,I Simpósio NIERS: Descomplicando as Revisões Sistemáticas ,LEONARDO AUGUSTO LOMBARDI,ICBN,Evento,Saúde,11/08/2021,11/08/2021,04/07/2021,14/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
224/2021,Criação de conteúdo digital para o Instagram ,OZIRIS BORGES FILHO,IELACHS,Projeto,Educação,13/07/2021,09/12/2021,14/06/2021,14/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
225/2021,Fundamentos de Justiça Restaurativa na Comunidade,CRISTIANE PAULIN SIMON,ICS,Curso,Direitos Humanos e Justiça,02/08/2021,23/11/2021,05/07/2021,15/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
226/2021,Liga Acadêmica de Neonatologia 2021,VALERIA CARDOSO ALVES CUNALI,ICS,Liga Acadêmica (Programa),Saúde,17/08/2021,17/08/2022,15/07/2021,16/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
227/2021,Liga Acadêmica de Pediatria 2021,VALERIA CARDOSO ALVES CUNALI,ICS,Liga Acadêmica (Programa),Saúde,01/08/2021,01/08/2022,23/06/2021,16/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
228/2021,Agosto Lilás e Universidade: olhares sobre a violência contra a mulher,CRISTIANE PAULIN SIMON,ICS,Evento,Direitos Humanos e Justiça,12/08/2021,26/08/2021,14/07/2021,19/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
229/2021,Tecnologias Digitais na Educação,JAMES ROGADO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Curso,Educação,25/08/2021,25/08/2021,15/07/2021,20/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
230/2021,"Mostra de Pesquisa, Ensino e Extensão do IELACHS",JANAINA FRANCISCA DE SOUZA CAMPOS VINHA,IELACHS,Evento,Educação,23/08/2021,26/08/2021,19/07/2021,21/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
231/2021,Trem das Onze,OZIRIS BORGES FILHO,IELACHS,Evento,Educação,21/08/2021,17/12/2021,20/07/2021,22/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
232/2021,PT-Day 2021 – Dia Mundial da Fisioterapia,SURAYA GOMES NOVAIS SHIMANO,ICS,Evento,Saúde,03/09/2021,03/09/2021,20/07/2021,22/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
233/2021,Discutindo sobre morte: intervenção grupal com acadêmicos,EDUARDO SOUSA GOTTI,IELACHS,Curso,Saúde,02/08/2021,10/09/2021,30/06/2021,22/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
234/2021,"Vivenciando a Semana Nacional e Municipal de Ciência, Tecnologia e Inovação ",LISLEI JORGE PATRIZZI MARTINS,ICS,Projeto,Educação,10/08/2021,17/12/2021,13/07/2021,27/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
235/2021,Ética e desenvolvimento sustentável: dialogando sobre responsabilidade e reciprocidade com futuros líderes comunitários,FERNANDA BORGES DE ANDRADE,IELACHS,Projeto,Direitos Humanos e Justiça,14/04/2021,13/11/2021,09/07/2021,27/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
236/2021,X Semana Universitária de Engenharia Química ,KASSIA GRACIELE DOS SANTOS,ICTE,Evento,Tecnologia e Produção,13/09/2021,17/09/2021,22/07/2021,27/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
237/2021,I CONGRESSO MULTIPROFISSIONAL DE ATENÇÃO HOSPITALAR (I COMAH),GILBERTO DE ARAUJO PEREIRA,ICS,Evento,Saúde,12/08/2021,15/08/2021,24/06/2021,28/07/2021,SIEX - Fluxo Contínuo,FUNEPU,"R$6000,00"
238/2021,Núcleo Rondon na Universidade Federal do Triângulo Mineiro    ,BRUNA VIEIRA CABRAL,ICTE,Programa,Meio Ambiente,01/07/2021,01/07/2022,02/07/2021,29/07/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (1 Bolsa de Extensão - 06 meses/2021 - julho a dezembro/2021 - PS DDEX nº 07/2021),"R$ 2.400,00"
239/2021,"Iº Seminário Studia Brasiliensia ""Brasileir@s, quem somos?""",LUCIO ALVARO MARQUES,IELACHS,Evento,Educação,30/09/2021,02/10/2021,16/07/2021,29/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
240/2021,Encontro comemorativo dos 15 anos do Curso de Fisioterapia da UFTM,KARINA PEREIRA,ICS,Evento,Saúde,24/08/2021,25/08/2021,25/07/2021,30/07/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
241/2021,1º Simpósio da Liga das Artes Maria Faceira - UFTM:  Um Bando das Artes e pelas Artes!,CLAUDIA FRANCO MONTEIRO,ICS,Evento,Cultura,19/08/2021,20/08/2021,20/07/2021,03/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
242/2021,Revista PET Brasil,OZIRIS BORGES FILHO,IELACHS,Projeto,Educação,09/08/2021,31/12/2021,10/07/2021,04/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
243/2021,Utilização da ferramenta de mídia social Instagram na construção e divulgação do conhecimento científico em saúde coletiva e do idoso,DARLENE MARA DOS SANTOS TAVARES,ICS,Projeto,Saúde,23/08/2021,30/12/2021,20/07/2021,04/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
244/2021,II SIMPÓSIO E CURSO INTRODUTÓRIO À LIGA INTERDISCIPLINAR AQUÁTICA,SURAYA GOMES NOVAIS SHIMANO,ICS,Evento,Saúde,19/08/2021,19/08/2021,30/07/2021,05/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
245/2021,Acolhimento e orientação para pais e cuidadores de crianças com síndrome de Down,KARINA PEREIRA,ICS,Projeto,Saúde,23/08/2021,10/12/2021,23/07/2021,09/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
246/2021,Liga Acadêmica de Trissomia do 21,MAIRA FERREIRA DO AMARAL,ICS,Liga Acadêmica (Programa),Saúde,01/09/2021,11/06/2022,03/08/2021,09/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
247/2021,GRUPO DE ESTUDO EM SAÚDE DAS POPULAÇÕES (GRUESP): WHATSAPP® COMO RECURSO PARA A EDUCAÇÃO EM SAÚDE,ISABEL APARECIDA PORCATTI DE WALSH,ICS,Projeto,Educação,23/08/2021,27/07/2022,21/07/2021,09/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
248/2021,I SIMPÓSIO INTRODUTÓRIO DA LIGA ACADÊMICA DE PSICOLOGIA DO ESPORTE,ALINE DESSUPOIO CHAVES,ICS,Evento,Saúde,09/09/2021,10/09/2021,28/07/2021,09/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
249/2021,LIGA ACADÊMICA DE NEUROCIRURGIA DA UFTM,ROBERTO ALEXANDRE DEZENA,ICS,Liga Acadêmica (Programa),Saúde,15/08/2021,15/08/2022,13/07/2021,09/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
250/2021,VI Fórum do Instituto de Ciências da Saúde: Estratégias para cuidar da saúde física e mental.,ANDREA RUZZI PEREIRA,ICS,Evento,Saúde,15/09/2021,15/09/2021,05/08/2021,10/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
251/2021,ÁGAPE: Atendimento Generalista a Populações Especiais,SURAYA GOMES NOVAIS SHIMANO,ICS,Programa,Direitos Humanos e Justiça,31/08/2021,23/12/2022,03/08/2021,13/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
252/2021,XI Curso Introdutório à Liga Acadêmica de Neurociências da UFTM,PATRICIA HELENA ZANIER GOMES,ICBN,Evento,Saúde,26/08/2021,26/08/2021,09/08/2021,16/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
253/2021,Ação popular solidária e distribuição de EPis no enfrentamento à Covid-19,MARCIO DE QUEIROZ MURAD,CENTRO DE EDUCAÇÃO PROFISSIONAL,Projeto,Saúde,01/05/2021,31/12/2021,03/08/2021,18/08/2021,SIEX - Fluxo Contínuo,FUNEPU,"R$ 9.800,00"
254/2021,III Curso de Atualização em Pesquisa Translacional: do experimental à clínica,JULIANA REIS MACHADO E SILVA,ICBN,Curso,Saúde,14/09/2021,16/09/2021,05/08/2021,19/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
255/2021,Você na UFTM,REGINA LIMA ANDRADE GONCALLO,PROENS,Projeto,Comunicação,12/09/2021,30/04/2022,12/08/2021,20/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
256/2021,VI Simpósio e Curso Introdutório de Cuidados Paliativos da LACP/UFTM ,LEILA APARECIDA KAUCHAKJE PEDROSA,ICS,Evento,Saúde,21/08/2021,21/08/2021,11/08/2021,20/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
257/2021,2º Ciclo de Palestras do Núcleo de Estudos e Pesquisas Socioambientais (NEPS),JOB ANTONIO GARCIA RIBEIRO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Evento,Meio Ambiente,13/09/2021,13/12/2021,09/08/2021,23/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
