ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
258/2021,Liga Acadêmica de Neurociências da UFTM,PATRICIA HELENA ZANIER GOMES,ICBN,Liga Acadêmica (Programa),Saúde,16/09/2021,15/09/2022,17/08/2021,24/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
259/2021,LIGA ACADÊMICA DE GASTROENTEROLOGIA E HEPATOLOGIA DA UFTM (LAGH- UFTM),GEISA PEREZ MEDINA GOMIDE,ICS,Liga Acadêmica (Programa),Saúde,01/10/2021,01/10/2022,25/08/2021,26/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
260/2021,Formação inicial para a vida acadêmica,WASHINGTON ABADIO DA SILVA,PROACE,Curso,Educação,21/09/2021,22/11/2021,24/08/2021,26/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
261/2021,VII Jornada Universitária em Defesa da Reforma Agrária e Indígena - JURAI,LEANDRA DOMINGUES SILVERIO,IELACHS,Evento,Direitos Humanos e Justiça,13/09/2021,30/09/2021,18/08/2021,27/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
262/2021,I Simpósio da Liga Acadêmica de Trissomia 21,FRANCISLENE GLORIA DE FREITAS REIS,ICBN,Evento,Saúde,02/09/2021,02/09/2021,19/08/2021,27/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
263/2021,"Curso de Eletrocardiografia ""Professor Sylvio Pontes Prata"" 2021",FERNANDO DE MARTINO,ICS,Curso,Saúde,29/09/2021,24/11/2021,24/08/2021,30/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
264/2021,"III Simpósio e Curso Introdutório à Liga Acadêmica de Psicologia e Audiovisual: ""Espelho, espelho meu: O papel das mídias sociais na autopercepção dos sujeitos.""",TALES VILELA SANTEIRO,IELACHS,Evento,Cultura,02/09/2021,02/09/2021,13/08/2021,30/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
265/2021,IX SEGEP - Semana de Graduação em Engenharia de Produção,RENATO LUVIZOTO RODRIGUES DE SOUZA,ICTE,Evento,Tecnologia e Produção,09/09/2021,11/11/2021,17/08/2021,30/08/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
266/2021,PROGRAMA DE EXTENSÃO ABAIXO DA PELE (Inovações para o ensino de Anatomia Humana e suas potencialidades),RENATA PEREIRA ALVES BALVEDI,CAMPUS UNIVERSITÁRIO DE ITURAMA,Programa,Saúde,23/09/2021,30/09/2022,26/08/2021,01/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
267/2021,1° Simpósio Introdutório à Liga Acadêmica de Psicologia do Desenvolvimento da Criança e do Adolescente - O brincar na Infância e na Adolescência,CONCEICAO APARECIDA SERRALHA,IELACHS,Evento,Saúde,08/09/2021,08/09/2021,23/08/2021,01/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
268/2021,Cuidados com a Ventilação não Invasiva,FABIANA JORGE BUENO GALDINO BARSAM,ICS,Curso,Saúde,03/09/2021,01/11/2021,04/08/2021,03/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
269/2021,SAÚDE SEXUAL E SEXUALIDADE DO IDOSO: DEMANDAS DA ATENÇÃO PRIMÁRIA,ALVARO DA SILVA SANTOS,ICS,Projeto,Saúde,01/09/2021,31/08/2022,19/08/2021,07/09/2021,SIEX - Edital 05/2021 - com bolsa,PROEXT - UFTM / FUNEPU,"R$ 3.600,00"
270/2021,Aprimorando os Conhecimentos ,PATRICIA HELENA ZANIER GOMES,ICBN,Projeto,Educação,01/09/2021,31/08/2022,19/08/2021,07/09/2021,SIEX - Edital 05/2021 - com bolsa,PROEXT - UFTM / FUNEPU,"R$ 3.600,00"
271/2021,Cápsula de Histórias,SABRINA MARTINS BARROSO,IELACHS,Projeto,Cultura,01/09/2021,31/08/2022,19/08/2021,07/09/2021,SIEX - Edital 05/2021 - com bolsa,PROEXT - UFTM / FUNEPU,"R$ 3.600,00"
272/2021,Rota das trilhas: Desenvolvimento social e econômico por meio do turismo,ARIANE FERNANDES DA CONCEICAO,CAMPUS UNIVERSITÁRIO DE ITURAMA,Projeto,Cultura,01/09/2021,31/08/2022,18/08/2021,07/09/2021,SIEX - Edital 05/2021 - com bolsa,PROEXT - UFTM / FUNEPU,"R$ 3.600,00"
273/2021,Meditação: Ciência para Mudança de Hábito,MARINA CASTRO DE ALMEIDA,IELACHS,Projeto,Saúde,01/09/2021,31/08/2022,19/08/2021,07/09/2021,SIEX - Edital 05/2021 - com bolsa,PROEXT - UFTM / FUNEPU,"R$ 3.600,00"
274/2021,III Simpósio da Liga Acadêmica de Pneumologia e Prevenção ao Tabagismo,MARIA HELENA DE CASTRO SILVA,ICS,Evento,Saúde,02/09/2021,02/09/2021,19/08/2021,08/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
275/2021,III SIMPÓSIO INTRODUTÓRIO DA LIGA ACADÊMICA DE AVALIAÇÃO FÍSICA – UFTM,JEFFER EIDI SASAKI,DEPARTAMENTO DE DESENVOLVIMENTO DA PÓS-GRADUAÇÃO,Evento,Saúde,21/09/2021,28/09/2021,03/09/2021,08/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
276/2021,Liga Acadêmica de Pneumologia e Prevenção ao Tabagismo,MARIA HELENA DE CASTRO SILVA,ICS,Liga Acadêmica (Programa),Educação,23/09/2021,22/09/2022,26/08/2021,10/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
277/2021,"Análise estatística: noções básicas de construção de banco de dados, análises descritiva e inferencial",LEILA APARECIDA KAUCHAKJE PEDROSA,ICS,Curso,Educação,18/10/2021,19/10/2021,03/09/2021,13/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
278/2021,Aula Aberta 3 – comunicação entre pais e filhos: uma visão psicossocial,LUCIANA MARIA DA SILVA,ICS,Evento,Direitos Humanos e Justiça,20/09/2021,27/09/2021,06/09/2021,14/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
279/2021,"V SEMANA DE SERVIÇO SOCIAL :  Serviço Social, trabalho contemporâneo e pandemia",DANIELLA DE SOUZA SANTOS NESPOLI,IELACHS,Evento,Direitos Humanos e Justiça,29/09/2021,21/10/2021,09/09/2021,14/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
280/2021,II Colóquio sobre Intervenção Precoce para Lactentes: Responsabilidade compartilhada com a família,ELAINE LEONEZI GUIMARAES,ICS,Evento,Saúde,25/09/2021,25/09/2021,15/09/2021,15/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
281/2021,Cuidado integral em saúde às pessoas atendidas no ambulatório de Doenças Infecciosas e Parasitárias do HC- UFTM: Atuação da Residência Multiprofissional em Saúde do Adulto,PATRICIA PAIVA CARVALHO,Hospital de Clínicas - HC,Projeto,Saúde,14/07/2021,13/03/2022,16/06/2021,15/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
282/2021,XIII Simpósio Introdutório à Liga Uberabense Acadêmica de Oncologia,GUILHERME FREIRE ANGOTTI CARRARA,ICS,Evento,Saúde,28/09/2021,28/09/2021,13/09/2021,15/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
283/2021,Biodiversidade de insetos polinizadores e provedores de serviços ecossistêmicos de Uberaba,RHAINER GUILLERMO NASCIMENTO FERREIRA,ICENE,Projeto,Meio Ambiente,19/09/2021,12/09/2022,30/08/2021,16/09/2021,SIEX - Edital 09/2021 - com bolsa,PROEXT - UFTM,"R$ 2.400,00"
284/2021,"Inventário do uso agrícola do solo no município de Uberaba, MG, por meio de geotecnologias.",RICARDO VICENTE FERREIRA,IELACHS,Projeto,Meio Ambiente,19/09/2021,12/09/2022,23/08/2021,16/09/2021,SIEX - Edital 09/2021 - com bolsa,PROEXT - UFTM,"R$ 4.800,00"
285/2021,Passeio Virtual 360° pelo Projeto Geopark Uberaba - Terra de Gigantes,JOSENILSON BERNARDO DA SILVA,IELACHS,Projeto,Educação,19/09/2021,12/09/2022,30/08/2021,16/09/2021,SIEX - Edital 09/2021 - com bolsa,PROEXT - UFTM,"R$ 1.600,00"
286/2021,Semana do Coração,FERNANDO DE MARTINO,ICS,Evento,Saúde,17/10/2021,24/10/2021,14/09/2021,16/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
287/2021,Semiologia em Dose Única: Aula Inaugural da Liga Acadêmica de Clínica Médica da UFTM,RODRIGO JULIANO MOLINA,ICS,Evento,Saúde,02/10/2021,02/10/2021,02/09/2021,17/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
288/2021,II Simpósio e Curso Introdutório à Liga Interdisciplinar de Saúde do Idoso,LISLEI JORGE PATRIZZI MARTINS,ICS,Evento,Saúde,09/08/2021,10/08/2021,14/07/2021,17/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
289/2021,Semear: Projeto de comunicação e divulgação da Licenciatura em Educação do Campo em territórios rurais,VERONICA KLEPKA,ICENE,Projeto,Educação,08/10/2021,30/11/2021,10/09/2021,20/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
290/2021,"7º JIEPE - Jornada Integrada de Ensino, Pesquisa e Extensão",FABRICIO ANIBAL CORRADINI,PROEXT,Evento,Comunicação,20/09/2021,31/12/2021,06/09/2021,27/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
291/2021,VI Seminário de Pesquisa do PROFLETRAS e Semana dos Cursos de Letras da UFTM,ELIZANDRA ZEULLI,IELACHS,Evento,Educação,28/09/2021,01/10/2021,20/09/2021,28/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
292/2021,XVIII Curso de Aperfeiçoamento em Nefropatologia   ,JULIANA REIS MACHADO E SILVA,ICBN,Curso,Saúde,04/10/2021,29/10/2021,22/09/2021,29/09/2021,SIEX - Fluxo Contínuo,FUNEPU                Não Tem Recurso Financeiro,"R$15.000,00"
293/2021,II Curso Introdutório da Liga Acadêmica de Nutrição e Atividade Física (LANAF). II Simpósio da LANAF,MARA CLEIA TREVISAN,ICS,Evento,Saúde,13/10/2021,04/11/2021,29/09/2021,30/09/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
294/2021,SaúdeInova: compartilhando habilidades essenciais ao profissional do futuro,LUCIANA DE ALMEIDA SILVA TEIXEIRA,ICS,Projeto,Saúde,23/09/2021,23/03/2022,23/08/2021,01/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
295/2021,IX Semana de Engenharia Civil,FABIO MARTIN ROCHA,ICTE,Evento,Tecnologia e Produção,18/10/2021,29/10/2021,03/10/2021,04/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
296/2021,1º Simpósio Interdisciplinar de Terapia Intensiva.,HUDSON HENRIQUE GOMES PIRES,ICS,Evento,Saúde,20/10/2021,20/10/2021,27/09/2021,05/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
297/2021,MULHERIDADES EM DEBATE,ANA PAULA FERNANDES,ICS,Evento,Saúde,22/10/2021,23/10/2021,30/09/2021,06/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
298/2021,V Jornada Integrada de Estudos Ambientais,CARLA ELOISA DINIZ DOS SANTOS,ICTE,Evento,Meio Ambiente,24/11/2021,25/11/2021,27/09/2021,06/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
299/2021,V Seminário de TCC da Educação Física/UFTM,DONIZETE CICERO XAVIER DE OLIVEIRA,ICS,Evento,Saúde,29/11/2021,01/12/2021,01/10/2021,07/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
300/2021 (Nº de registro alterado - ver planilha de 2022),I ENCONTRO DE TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO DA UFTM – ETAE: contribuições para o desenvolvimento científico e institucional,WALESKA DAYSE DIAS DE SOUSA,ICENE,Evento,Trabalho,22/03/2022,24/03/2022,05/10/2021,07/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
301/2021,II SIMPÓSIO DA LIGA ACADÊMICA DE SAÚDE COLETIVA -LASC– UFTM,JULIANA MARTINS PINTO,ICS,Evento,Saúde,08/10/2021,29/10/2021,24/09/2021,08/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
302/2021,Liga Interdisciplinar de Saúde do Idoso,LISLEI JORGE PATRIZZI MARTINS,ICS,Liga Acadêmica (Programa),Saúde,25/10/2021,27/10/2022,20/09/2021,13/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
303/2021,1o Simpósio de Estágio Curricular Supervisionado do Curso de Engenharia de Alimentos da UFTM (1o SimEEAli),PAULO HENRIQUE MARIANO MARFIL,ICTE,Evento,Tecnologia e Produção,29/10/2021,29/12/2021,08/10/2021,13/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
304/2021,I Simpósio Introdutório à Liga Acadêmica de Gastroenterologia e Hepatologia da UFTM,GEISA PEREZ MEDINA GOMIDE,ICS,Evento,Saúde,27/10/2021,27/10/2021,22/09/2021,14/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
305/2021,II JORNADA DAS LICENCIATURAS DO ICENE - SEMANA INTEGRADA (BioFisQuiLeMat2021),CAMILA LIMA MIRANDA,ICENE,Evento,Educação,03/11/2021,05/11/2021,07/10/2021,18/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
306/2021,Projeto de Estimulação Precoce – Terapia Ocupacional (PEPTO),LUCIENY ALMOHALHA,ICS,Projeto,Saúde,11/11/2021,30/12/2022,14/10/2021,19/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
307/2021,Curso de formação em manejo de grupos,CONCEICAO APARECIDA SERRALHA,IELACHS,Curso ,Educação,27/10/2021,08/12/2021,29/09/2021,19/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
308/2021,II Encontro de Medicina do Estilo de Vida do Triângulo Mineiro,LISLEI JORGE PATRIZZI MARTINS,Coordenadoria dos Programas de Pós-graduação Stricto Sensu,Evento,Saúde,29/10/2021,29/10/2021,15/10/2021,21/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
309/2021,Liga Acadêmica de Avaliação Física,JEFFER EIDI SASAKI,Departamento de Desenvolvimento da Pós-graduação,Liga Acadêmica (Programa),Saúde,05/11/2021,30/11/2025,08/10/2021,21/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
310/2021,Liga Acadêmica de Saúde Esportiva (LASE),DANIEL FERREIRA MOREIRA LOBATO,PROPPG,Liga Acadêmica (Programa),Saúde,17/05/2021,30/04/2026,16/04/2021,22/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
311/2021,X JORNADA DE SAÚDE DO HOMEM,GILBERTO DE ARAUJO PEREIRA,ICS,Evento,Saúde,03/11/2021,23/12/2021,14/10/2021,22/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
312/2021,Atendimento Humanizado e Integral: ações da equipe multiprofissional a pacientes com lesão crônica em um ambulatório de um Hospital Universitário ,LUCIA APARECIDA FERREIRA,ICS,Projeto,Saúde,25/10/2021,16/03/2022,27/09/2021,25/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
313/2021,1ª Semana de Conscientização em Saúde e Esporte da LAMIE,MURILO ANTONIO ROCHA,PROENS,Projeto,Saúde,15/11/2021,26/11/2021,17/10/2021,26/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
314/2021,Liga Acadêmica de Cuidados Paliativos 2021,LEILA APARECIDA KAUCHAKJE PEDROSA,ICS,Liga Acadêmica (Programa),Saúde,08/11/2021,18/11/2022,10/10/2021,26/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
315/2021,I Simpósio de Atividades Aquáticas: a extensão universitária na formação profissional - 10 anos do Aqua/UFTM,ALINE DESSUPOIO CHAVES,Pró-reitoria de Ensino,Evento,Saúde,08/11/2021,11/11/2021,20/10/2021,27/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
316/2021 (proposta cancelada),"Prospecção de oportunidades de Pesquisa, Desenvolvimento e Inovação entre a UFTM e o setor privado",DOUGLAS MOURA MIRANDA,Núcleo de Inovação Tecnológica,Programa,Tecnologia e Produção,1/12/2021,30/11/2026,19/10/2021,28/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
317/2021,"XVI Encontro Internacional de Estudos Medievais - ""Sob o véu de versos estranhos"": Dante em perspectiva multidisciplinar",CLAUDIA REGINA BOVO,IELACHS,Evento,Educação,24/11/2021,26/11/2021,20/10/2021,28/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
318/2021,Utilização dos Sistemas de Informação em Saúde (DATASUS) para pesquisa e gestão em saúde,SIOMAR DE CASTRO SOARES,Departamento de Desenvolvimento de Pesquisa e Inovação Tecnológica,Curso,Saúde,01/11/2021,29/11/2021,14/10/2021,29/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
319/2021,Novembro Azul 2021 - Campanha de Combate ao Câncer de Próstata ,LUIS GUSTAVO FAGUNDES NUNES,ICS,EVENTO,SAÚDE,05/11/2021,07/12/2021,22/10/0202,29/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
320/2021,Oferta de Cursos Técnicos/Cefores pelo Projeto Trilhas de Futuro,PAULO ROBERTO DA SILVA,CEFORES,Projeto,Educação,25/10/2021,25/10/2023,29/10/2021,29/10/2021,SIEX - Fluxo Contínuo,FUNEPU,"R$ 1.477.582,30"
321/2021,Festival Cultural de Uberaba ,LUIZ FERNANDO RESENDE DOS SANTOS ANJO,Reitoria/UFTM,Projeto,Cultura,08/06/2021,31/12/2021,29/09/2021,29/10/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 05 meses - ago a dez/21 - Edital nº 10/2021),"R$ 4.000,00"
322/2021,"I simpósio Grupo de Pesquisa em Fisiologia Aplicada, Nutrição e Exercício da UFTM.",MARKUS VINICIUS CAMPOS SOUZA,ICS,Evento,Saúde,29/11/2021,01/12/2021,22/10/2021,29/10/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
323/2021,X Semana de História da UFTM,FABIO AFONSO FRIZZO DE MORAES LIMA,IELACHS,Evento,Educação,22/10/2021,26/11/2021,11/11/2021,11/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
324/2021,CURSINHO DE EDUCAÇÃO POPULAR - CEPOP,ANA PALMIRA SOARES DOS SANTOS,CEFORES,Programa,Educação,11/05/2021,12/05/2022,06/10/2021,12/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
325/2021,Liga Uberabense Acadêmica de Oncologia,GUILHERME FREIRE ANGOTTI CARRARA,ICS,Liga Acadêmica (Programa),Saúde,23/11/2021,23/11/2022,26/10/2021,17/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
326/2021 (Nº de registro alterado - ver planilha de 2022),Anatomia descritiva e funcional do sistema articular,LEONARDO AUGUSTO LOMBARDI,ICBN,Curso,Saúde,17/01/2022,28/01/2022,22/10/2021,17/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
327/2021, Mapa corporal: conceitos e experimentações introdutórias ,MARINA LEANDRINI DE OLIVEIRA,ICS,Evento,Educação,16/11/2021,18/11/2021,29/10/2021,18/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
328/2021,Webinar: Desafios na atenção ao prematuro e sua família,MARIANA TORREGLOSA RUIZ,ICS,Evento,Saúde,01/12/2021,15/12/2021,17/11/2021,18/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
329/2021,"Prospecção de oportunidades de Pesquisa, Desenvolvimento e Inovação entre a UFTM e empresas",DOUGLAS MOURA MIRANDA,Núcleo de Inovação Tecnológica,Projeto,Tecnologia e Produção,25/11/2021,24/11/2023,8/11/2021,19/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
330/2021,III Encontro de Geriatria e Gerontologia do Triângulo Mineiro,VITORIA HELENA MACIEL COELHO,ICS,Evento,Saúde,17/11/2021,18/11/2021,03/11/2021,23/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
331/2021,CONCURSO DE REDAÇÃO DO PROJETO UBERABA 200 ANOS: A UFTM TAMBÉM FAZ PARTE DESSA HISTÓRIA,PAULA CUSINATO,DDCult/PROEXT,Evento,Cultura,20/07/2021,31/07/2021,06/07/2021,23/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
332/2021,II Simpósio da Liga Universitária da Amamentação,LUCIANO BORGES SANTIAGO,ICS,Evento,Educação,07/12/2021,07/12/2021,18/11/2021,24/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
333/2021 (Nº de registro alterado - ver planilha de 2022),VIII SIMPÓSIO INTERNACIONAL DE ESTUDOS LINGUÍSTICOS E LITERÁRIOS,ANA AMELIA CALAZANS DA ROSA,IELACHS,Evento,Educação,03/05/2022,06/05/2022,18/11/2021,24/11/2021,SIEX - Fluxo Contínuo,FUNEPU,"23.850,73"
334/2021,"IV Colóquio Internacional sobre Escrita, Variação e Interculturalidade: estudos e pesquisas (CIEVLI) e III Roda de Conversa sobre Cooperação Acadêmica Brasil-África",JULIANA BERTUCCI BARBOSA,IELACHS,Evento,Educação,29/11/2021,01/12/2021,9/11/2021,25/11/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
335/2021 (Nº de registro alterado - ver planilha de 2022),Doação de Sangue - compromisso social,SHEILA SOARES SILVA,ICS,Projeto,Saúde,03/01/2022,31/10/2022,23/11/2021,03/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
336/2021,III simpósio e curso introdutório à Liga Acadêmica de Patologia Geral e Nefropatologia ,JULIANA REIS MACHADO E SILVA,PROPPG,Evento,Saúde,13/12/2021,13/12/2021,2/12/2021,06/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
337/2021 (Nº de registro alterado - ver planilha de 2022),"Guia Digital Ilustrado das Angiospermas do Bairro Rural de Peirópolis, Uberaba, MG",POLYANA NORONHA SOARES,ICENE,Projeto,Educação,06/01/2022,06/07/2022,26/11/2021,06/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
338/2021,V Simpósio da Liga Acadêmica de Saúde Esportiva (LASE) e V Curso Introdutório à LASE,DANIEL FERREIRA MOREIRA LOBATO,PROPPG,Evento,Saúde,10/12/2021,10/12/2021,26/11/2021,06/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
339/2021,"Curso de Capacitação da Rede de Atendimento  a Criança e do Adolescente - Uberaba, MG",AILTON DE SOUZA ARAGAO,ICS,Curso,Direitos Humanos e Justiça,21/12/2021,29/12/2021,23/11/2021,09/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
340/2021,Liga de Análises Clínicas (LAC),ALEXANDRE DE PAULA ROGERIO,ICS,Programa,Educação,06/12/2021,16/12/2022,21/10/2021,13/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
341/2021,II Jornada do Setembro Amarelo ,TOMAS ROTELLI DE OLIVEIRA FERREIRA,ICS,Evento,Educação,20/9/2021,30/09/2021,9/12/2021,23/12/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
342/2021,Liga Acadêmica de Psicobiologia - L-Psicobio,Sionaldo Eduardo Ferreira,ICBN,Liga Acadêmica (Programa),Saúde,01/03/2021,01/12/2021,19/12/2020,12/01/2021,SIGProj - Edital PIBEX nº  07/2020 - sem bolsa,PROEXT-UFTM,----
,,,,,,,,,,,,
Atualizada em 22/03/2022,,,,,,,,,,,,